PROJECT_NAME,RESOURCE_NAME,SERVICE
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,sd_indemnizaciones_api_dev_1lfyvz9a1kxkv_apigateway_sb_prototipos_xops_cloud_goog_endpoints_log_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00167-ptt,run.googleapis.com/Revision
sb-prototipos-xops,apigateway_googleapis_com_requests_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stderr_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stdout_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_data_access_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00166-npf,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com_requests_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudbuild_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00165-4h2,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00164-w5w,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00163-clw,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00162-l9f,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00161-n87,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00160-c5g,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00159-k6t,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00158-2sr,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00157-npj,run.googleapis.com/Revision
